FORT WORTH,Serial No/VIN,VIN6,Ending Balance, 2100        ,VIN6,Description,Control    
2026 Buick BUCK ENVIST,KL47LAEP1TB116571,116571,"$27,924.93 "," (27,924.93)",116571,2026 BUICK ENVISTA      1/05/26  KL47LAEP1TB116571,B36122
2026 Buick BUCK ENVIST,KL47LAEP9TB121677,121677,"$28,017.43 "," (28,017.43)",121677,2026 BUICK ENVISTA      2/09/26  KL47LAEP9TB121677,B36227
2026 Buick BUCK ENVIST,KL47LAEP3TB121691,121691,"$28,017.43 "," (28,017.43)",121691,2026 BUICK ENVISTA      2/04/26  KL47LAEP3TB121691,B36205
2026 Buick BUCK ENVIST,KL47LAEP6TB121703,121703,"$28,017.43 "," (28,017.43)",121703,2026 BUICK ENVISTA      2/09/26  KL47LAEP6TB121703,B36239
2026 Buick BUCK ENVIST,KL47LAEP8TB121704,121704,"$28,017.43 "," (28,017.43)",121704,2026 BUICK ENVISTA      2/11/26  KL47LAEP8TB121704,B36256
2026 Buick BUCK ENVIST,KL47LAEP3TB121710,121710,"$28,017.43 "," (28,017.43)",121710,2026 BUICK ENVISTA      2/11/26  KL47LAEP3TB121710,B36257
2026 Buick BUCK ENVIST,KL47LAEP6TB121717,121717,"$28,017.43 "," (28,017.43)",121717,2026 BUICK ENVISTA      2/11/26  KL47LAEP6TB121717,B36258
2026 Buick BUCK ENVIST,KL47LAEPXTB136379,136379,"$28,017.43 "," (28,017.43)",136379,2026 BUICK ENVISTA      2/09/26  KL47LAEPXTB136379,B36241
2026 Buick BUCK ENVIST,KL47LAEP5TB136385,136385,"$28,017.43 "," (28,017.43)",136385,2026 BUICK ENVISTA      2/16/26  KL47LAEP5TB136385,B36299
2026 Buick BUCK ENVIST,KL47LAEP0TB138576,138576,"$28,017.43 "," (28,017.43)",138576,2026 BUICK ENVISTA      3/26/26  KL47LAEP0TB138576,B36591
2026 Buick BUCK ENVIST,KL47LAEP7TB140504,140504,"$28,017.43 "," (28,017.43)",140504,2026 BUICK ENVISTA      2/16/26  KL47LAEP7TB140504,B36293
2026 Buick BUCK ENVIST,KL47LAEP8TB168540,168540,"$28,017.43 "," (28,017.43)",168540,2026 BUICK ENVISTA      3/09/26  KL47LAEP8TB168540,B36400
2026 Buick BUCK ENCOR G,KL4AMBSL8TB205984,205984,"$28,288.05 "," (28,288.05)",205984,2026 BUICK ENCORE GX    4/29/26  KL4AMBSL8TB205984,B36785
2026 Buick BUCK ENCOR G,KL4AMBSL8TB207234,207234,"$28,288.05 ",,,,
2026 Buick BUCK ENCOR G,KL4AMBSL1TB207737,207737,"$28,288.05 ",,,,
2026 Buick BUCK ENCOR G,KL4AMBSL0TB207809,207809,"$28,288.05 ",,,,
2026 Buick BUCK ENCOR G,KL4AMBSLXTB207896,207896,"$28,288.05 ",,,,
2026 Buick BUCK ENCOR G,KL4AMBSL4TB207926,207926,"$28,288.05 ",,,,
2026 Buick BUCK ENCOR G,KL4AMBSLXTB208059,208059,"$28,288.05 "," (28,288.05)",208059,2026 BUICK ENCORE GX    4/28/26  KL4AMBSLXTB208059,B36761
2026 Buick BUCK ENCOR G,KL4AMBSL1TB208211,208211,"$28,288.05 "," (28,288.05)",208211,2026 BUICK ENCORE GX    4/29/26  KL4AMBSL1TB208211,B36784
2026 Subaru CROSSTREK5 DO,4S4GUHD64T3769342,769342,"$28,456.00 "," (28,456.00)",769342,SUBARU LOANER           4/24/26  4S4GUHD64T3769342,R5281
2026 Buick BUCK ENVIST,KL47LAEP1TB120667,120667,"$28,475.30 "," (28,475.30)",120667,2026 BUICK ENVISTA      2/18/26  KL47LAEP1TB120667,B36327
2026 Buick BUCK ENVIST,KL47LAEP5TB120705,120705,"$28,475.30 "," (28,475.30)",120705,2026 BUICK ENVISTA      2/04/26  KL47LAEP5TB120705,B36203
2026 Buick BUCK ENVIST,KL47LAEP5TB120719,120719,"$28,475.30 "," (28,475.30)",120719,2026 BUICK ENVISTA      2/11/26  KL47LAEP5TB120719,B36260
2026 Buick BUCK ENVIST,KL47LAEP3TB120749,120749,"$28,475.30 "," (28,475.30)",120749,2026 BUICK ENVISTA      2/02/26  KL47LAEP3TB120749,B36197
2026 Buick BUCK ENVIST,KL47LAEP0TB120756,120756,"$28,475.30 "," (28,475.30)",120756,2026 BUICK ENVISTA      2/02/26  KL47LAEP0TB120756,B36196
2026 Buick BUCK ENVIST,KL47LAEP2TB120757,120757,"$28,475.30 "," (28,475.30)",120757,2026 BUICK ENVISTA      2/04/26  KL47LAEP2TB120757,B36204
2026 Buick BUCK ENVIST,KL47LAEP1TB121091,121091,"$28,475.30 "," (28,475.30)",121091,2026 BUICK ENVISTA      2/03/26  KL47LAEP1TB121091,B36202
2026 Buick BUCK ENVIST,KL47LAEP4TB121098,121098,"$28,475.30 "," (28,475.30)",121098,2026 BUICK ENVISTA      2/04/26  KL47LAEP4TB121098,B36206
2026 Buick BUCK ENVIST,KL47LAEP5TB121143,121143,"$28,475.30 "," (28,475.30)",121143,2026 BUICK ENVISTA      2/02/26  KL47LAEP5TB121143,B36198
2026 Buick BUCK ENVIST,KL47LAEP9TB121162,121162,"$28,475.30 "," (28,475.30)",121162,2026 BUICK ENVISTA      2/02/26  KL47LAEP9TB121162,B36199
2026 Buick BUCK ENVIST,KL47LAEP1TB135640,135640,"$28,475.30 "," (28,475.30)",135640,2026 BUICK ENVISTA      2/09/26  KL47LAEP1TB135640,B36240
2026 Buick BUCK ENVIST,KL47LAEP1TB136321,136321,"$28,475.30 "," (28,475.30)",136321,2026 BUICK ENVISTA      2/16/26  KL47LAEP1TB136321,B36292
2026 Buick BUCK ENVIST,KL47LAEP8TB138583,138583,"$28,475.30 "," (28,475.30)",138583,2026 BUICK ENVISTA      3/27/26  KL47LAEP8TB138583,B36609
2026 Buick BUCK ENVIST,KL47LAEPXTB139072,139072,"$28,475.30 "," (28,475.30)",139072,2026 BUICK ENVISTA      2/16/26  KL47LAEPXTB139072,B36304
2026 Buick BUCK ENVIST,KL47LAEP0TB139078,139078,"$28,475.30 "," (28,475.30)",139078,2026 BUICK ENVISTA      2/16/26  KL47LAEP0TB139078,B36300
2026 Buick BUCK ENVIST,KL47LAEP2TB139079,139079,"$28,475.30 "," (28,475.30)",139079,2026 BUICK ENVISTA      3/16/26  KL47LAEP2TB139079,B36462
2026 Buick BUCK ENVIST,KL47LAEP4TB167370,167370,"$28,475.30 "," (28,475.30)",167370,2026 BUICK ENVISTA      3/09/26  KL47LAEP4TB167370,B36399
2026 Buick BUCK ENVIST,KL47LAEP0TB167754,167754,"$28,475.30 "," (28,475.30)",167754,2026 BUICK ENVISTA      3/10/26  KL47LAEP0TB167754,B36416
2026 Buick BUCK ENVIST,KL47LAEP3TB170485,170485,"$28,475.30 "," (28,475.30)",170485,2026 BUICK ENVISTA      3/17/26  KL47LAEP3TB170485,B36468
2026 Buick BUCK ENVIST,KL47LAEP3TB180966,180966,"$28,475.30 "," (28,475.30)",180966,2026 BUICK ENVISTA      4/03/26  KL47LAEP3TB180966,B36680
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3750309,750309,"$28,522.00 "," (28,522.00)",750309,"POMALES, TAMARA CLAIR   3/06/26  4S4GUHD6XT3750309",R5053
2026 Subaru CROSSTREK5 DO,4S4GUHD65T3756020,756020,"$28,654.00 "," (28,654.00)",756020,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD65T3756020,R5104
2026 Subaru CROSSTREK5 DO,4S4GUHD64T3756073,756073,"$28,654.00 "," (28,654.00)",756073,2026 SUBARU CROSSTREK   3/31/26  4S4GUHD64T3756073,R5193
2026 Subaru CROSSTREK5 DO,4S4GUHD67T3756181,756181,"$28,654.00 "," (28,654.00)",756181,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD67T3756181,R5107
2026 Subaru CROSSTREK5 DO,4S4GUHD68T3756254,756254,"$28,654.00 "," (28,654.00)",756254,2026 SUBARU CROSSTREK   3/30/26  4S4GUHD68T3756254,R5187
2026 Subaru CROSSTREK5 DO,4S4GUHD66T3756365,756365,"$28,654.00 "," (28,654.00)",756365,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD66T3756365,R5105
2026 Subaru CROSSTREK5 DO,4S4GUHD64T3730606,730606,"$28,669.00 "," (28,669.00)",730606,"RIVAS, OWARD ENRIQUE    1/21/26  4S4GUHD64T3730606",R4881
2026 Buick BUCK ENCOR G,KL4AMDSL1TB206938,206938,"$28,819.98 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL8TB208086,208086,"$28,819.98 ",,,,
2026 Buick BUCK ENVIST,KL47LBEP0TB160471,160471,"$28,843.05 "," (28,843.05)",160471,"WEBB, STACEY ELIZABET   3/09/26  KL47LBEP0TB160471",B36403
2026 Buick BUCK ENVIST,KL47LBEP8TB160590,160590,"$28,843.05 "," (28,843.05)",160590,"FULLER, ANA CHRISTY R   3/04/26  KL47LBEP8TB160590",B36367
2026 Buick BUCK ENVIST,KL47LBEP7TB163741,163741,"$28,843.05 "," (28,843.05)",163741,"WATSON, HARLI SHAYNE    4/09/26  KL47LBEP7TB163741",B36703
,,,," (28,891.00)",735807,SUBARU LOANER           1/29/26  4S4GUHD66T3735807,R4902
2025 Subaru CROSSTREK5 DO,4S4GUHF67S3767712,767712,"$28,925.00 "," (28,925.00)",767712,SUBARU LOANER          12/31/25  4S4GUHF67S3767712,R4370
2026 Subaru CROSSTREK5 DO,4S4GUHF68T3717905,717905,"$29,134.00 "," (29,134.00)",717905,2026 SUBARU CROSSTREK   4/14/26  4S4GUHF68T3717905,R4705
2026 Subaru CROSSTREK5 DO,4S4GUHF6XT3723124,723124,"$29,134.00 ",,,,
2026 Buick ENVISTA,KL47LBEP0TB119872,119872,"$29,160.01 "," (29,160.01)",119872,"SHELTON, JEFFERY WILL   2/17/26  KL47LBEP0TB119872",B36267
2026 Subaru CROSSTREK5 DO,4S4GUHF63T3704821,704821,"$29,240.00 "," (29,240.00)",704821,4S4GUHF63T3704821,R4589
2026 Buick BUCK ENCOR G,KL4AMDSL5TB206974,206974,"$29,277.85 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL7TB207267,207267,"$29,277.85 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL5TB207655,207655,"$29,277.85 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL0TB207904,207904,"$29,277.85 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL2TB207919,207919,"$29,277.85 "," (29,277.85)",207919,2026 BUICK ENCORE GX    4/29/26  KL4AMDSL2TB207919,B36782
2026 Buick BUCK ENCOR G,KL4AMDSL2TB208035,208035,"$29,277.85 "," (29,277.85)",208035,2026 BUICK ENCORE GX    4/29/26  KL4AMDSL2TB208035,B36783
2026 Buick BUCK ENCOR G,KL4AMDSL7TB211500,211500,"$29,277.85 ",,,,
2026 Buick BUCK ENVIST,KL47LBEP0TB145825,145825,"$29,300.93 "," (29,300.93)",145825,"SANDERS, MARIAH CUREI   2/25/26  KL47LBEP0TB145825",B36349
2026 Buick BUCK ENVIST,KL47LBEP6TB146672,146672,"$29,300.93 "," (29,300.93)",146672,2026 BUICK ENVISTA      2/25/26  KL47LBEP6TB146672,B36351
2026 Buick BUCK ENVIST,KL47LBEP4TB160330,160330,"$29,300.93 "," (29,300.93)",160330,2026 BUICK ENVISTA      3/04/26  KL47LBEP4TB160330,B36366
2026 Buick BUCK ENVIST,KL47LBEP0TB164519,164519,"$29,300.93 "," (29,300.93)",164519,2026 BUICK ENVISTA      3/04/26  KL47LBEP0TB164519,B36365
2026 Buick BUCK ENVIST,KL47LBEP6TB148521,148521,"$29,393.43 "," (29,393.43)",148521,2026 BUICK ENVISTA      2/16/26  KL47LBEP6TB148521,B36305
2026 Buick BUCK ENVIST,KL47LBEP7TB152920,152920,"$29,393.43 "," (29,393.43)",152920,2026 BUICK ENVISTA      3/26/26  KL47LBEP7TB152920,B36592
2026 Buick BUCK ENVIST,KL47LBEP9TB152921,152921,"$29,393.43 "," (29,393.43)",152921,2026 BUICK ENVISTA      3/26/26  KL47LBEP9TB152921,B36593
2026 Buick BUCK ENVIST,KL47LBEP1TB152945,152945,"$29,393.43 "," (29,393.43)",152945,2026 BUICK ENVISTA      3/11/26  KL47LBEP1TB152945,B36430
2026 Buick BUCK ENVIST,KL47LBEP7TB166705,166705,"$29,393.43 "," (29,393.43)",166705,2026 BUICK ENVISTA      3/09/26  KL47LBEP7TB166705,B36401
2026 Buick BUCK ENVIST,KL47LBEP0TB166755,166755,"$29,393.43 "," (29,393.43)",166755,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB166755,B36392
2026 Buick BUCK ENVIST,KL47LBEP0TB168621,168621,"$29,393.43 "," (29,393.43)",168621,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB168621,B36402
2026 Buick BUCK ENVIST,KL47LBEP6TB169756,169756,"$29,393.43 "," (29,393.43)",169756,2026 BUICK ENVISTA      3/17/26  KL47LBEP6TB169756,B36470
2026 Buick BUCK ENVIST,KL47LBEP6TB063551,063551,"$29,496.80 "," (29,496.80)",063551,2026 BUICK ENVISTA     10/06/25  KL47LBEP6TB063551,B35520
2026 Buick BUCK ENCOR G,KL4AMDSL2TB166157,166157,"$29,559.98 "," (29,559.98)",166157,"DONAHOO, TATUM TAYLOR   3/05/26  KL4AMDSL2TB166157",B36377
2026 Buick BUCK ENCOR G,KL4AMDSL5TB167884,167884,"$29,559.98 "," (29,559.98)",167884,2026 BUICK ENCORE GX    3/09/26  KL4AMDSL5TB167884,B36397
2026 Buick BUCK ENCOR G,KL4AMDSL3TB169942,169942,"$29,559.98 "," (29,559.98)",169942,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL3TB169942,B36519
2026 Buick BUCK ENCOR G,KL4AMDSL7TB170155,170155,"$29,559.98 "," (29,559.98)",170155,2026 BUICK ENCORE GX    3/27/26  KL4AMDSL7TB170155,B36628
2026 Buick BUCK ENCOR G,KL4AMDSL2TB170189,170189,"$29,559.98 "," (29,559.98)",170189,"VASQUEZ, JENNIFER LYN   3/18/26  KL4AMDSL2TB170189",B36479
2026 Buick BUCK ENCOR G,KL4AMDSLXTB034554,034554,"$29,648.45 "," (29,648.45)",034554,2026 BUICK ENCORE GX    7/30/25  KL4AMDSLXTB034554,B35056
2026 Buick BUCK ENCOR G,KL4AMDSL2TB153635,153635,"$29,652.48 "," (29,652.48)",153635,2026 BUICK ENCORE GX    3/13/26  KL4AMDSL2TB153635,B36450
2026 Buick BUCK ENCOR G,KL4AMDSLXTB158808,158808,"$29,652.48 "," (29,652.48)",158808,2026 BUICK ENCORE GX    3/10/26  KL4AMDSLXTB158808,B36420
2026 Buick BUCK ENVIST,KL47LBEP4TB126842,126842,"$29,851.30 "," (29,851.30)",126842,"ROBERTS, AUSTIN ROSS    2/10/26  KL47LBEP4TB126842",B36242
2026 Buick BUCK ENVIST,KL47LBEP0TB126935,126935,"$29,851.30 "," (29,851.30)",126935,"ALVORD, EMMA GRACE      2/09/26  KL47LBEP0TB126935",B36231
2026 Buick BUCK ENVIST,KL47LBEP8TB127007,127007,"$29,851.30 "," (29,851.30)",127007,2026 BUICK ENVISTA      2/10/26  KL47LBEP8TB127007,B36244
2026 Buick BUCK ENVIST,KL47LBEP4TB127084,127084,"$29,851.30 "," (29,851.30)",127084,2026 BUICK ENVISTA      2/09/26  KL47LBEP4TB127084,B36229
2026 Buick BUCK ENVIST,KL47LBEP6TB150673,150673,"$29,851.30 "," (29,851.30)",150673,2026 BUICK ENVISTA      3/13/26  KL47LBEP6TB150673,B36449
2026 Buick BUCK ENVIST,KL47LBEP5TB150695,150695,"$29,851.30 "," (29,851.30)",150695,2026 BUICK ENVISTA      2/16/26  KL47LBEP5TB150695,B36296
2026 Buick BUCK ENVIST,KL47LBEP7TB150701,150701,"$29,851.30 "," (29,851.30)",150701,2026 BUICK ENVISTA      2/16/26  KL47LBEP7TB150701,B36297
2026 Buick BUCK ENVIST,KL47LBEP4TB151532,151532,"$29,851.30 "," (29,851.30)",151532,"GREENWELL, CHANDLER S   2/16/26  KL47LBEP4TB151532",B36295
2026 Buick BUCK ENVIST,KL47LBEP0TB154430,154430,"$29,851.30 "," (29,851.30)",154430,2026 BUICK ENVISTA      3/23/26  KL47LBEP0TB154430,B36539
2026 Buick BUCK ENVIST,KL47LBEP9TB167810,167810,"$29,851.30 "," (29,851.30)",167810,"JOHNSTON, MICHAEL S     3/09/26  KL47LBEP9TB167810",B36393
2026 Buick BUCK ENVIST,KL47LBEP0TB167811,167811,"$29,851.30 "," (29,851.30)",167811,"MUNOZ, ARELY YAJAIRA    3/10/26  KL47LBEP0TB167811",B36418
2026 Buick BUCK ENVIST,KL47LBEP8TB167846,167846,"$29,851.30 "," (29,851.30)",167846,"PAINE, WILLIAM DANIEL   3/10/26  KL47LBEP8TB167846",B36419
2026 Buick BUCK ENVIST,KL47LBEP0TB168392,168392,"$29,851.30 "," (29,851.30)",168392,2026 BUICK ENVISTA      3/09/26  KL47LBEP0TB168392,B36404
2026 Buick BUCK ENVIST,KL47LBEP6TB170499,170499,"$29,851.30 "," (29,851.30)",170499,"TORBERT, JACQUELYN K    3/17/26  KL47LBEP6TB170499",B36469
2026 Buick BUCK ENVIST,KL47LBEP7TB170513,170513,"$29,851.30 "," (29,851.30)",170513,2026 BUICK ENVISTA      4/01/26  KL47LBEP7TB170513,B36659
2026 Buick BUCK ENCOR G,KL4AMDSL1TB170149,170149,"$30,017.85 "," (30,017.85)",170149,2026 BUICK ENCORE GX    3/20/26  KL4AMDSL1TB170149,B36514
2026 Buick BUCK ENCOR G,KL4AMDSLXTB174099,174099,"$30,017.85 ",,,,
2026 Buick BUCK ENCOR G,KL4AMDSL3TB153059,153059,"$30,110.35 "," (30,110.35)",153059,2026 BUICK ENCORE GX    3/11/26  KL4AMDSL3TB153059,B36431
2026 Buick BUCK ENCOR G,KL4AMDSL3TB153336,153336,"$30,110.35 "," (30,110.35)",153336,2026 BUICK ENCORE GX    3/16/26  KL4AMDSL3TB153336,B36463
2026 Buick BUCK ENCOR G,KL4AMDSL3TB156107,156107,"$30,110.35 "," (30,110.35)",156107,2026 BUICK ENCORE GX    3/17/26  KL4AMDSL3TB156107,B36472
2026 Buick BUCK ENCOR G,KL4AMDSL8TB156121,156121,"$30,110.35 "," (30,110.35)",156121,2026 BUICK ENCORE GX    3/25/26  KL4AMDSL8TB156121,B36575
2026 Buick BUCK ENCOR G,KL4AMDSL0TB156338,156338,"$30,110.35 "," (30,110.35)",156338,2026 BUICK ENCORE GX    3/27/26  KL4AMDSL0TB156338,B36630
2026 Buick BUCK ENCOR G,KL4AMDSL0TB156355,156355,"$30,110.35 "," (30,110.35)",156355,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL0TB156355,B36520
2026 Buick BUCK ENCOR G,KL4AMDSL2TB157054,157054,"$30,110.35 "," (30,110.35)",157054,2026 BUICK ENCORE GX    3/26/26  KL4AMDSL2TB157054,B36595
2026 Buick BUCK ENCOR G,KL4AMDSLXTB157089,157089,"$30,110.35 "," (30,110.35)",157089,2026 BUICK ENCORE GX    3/27/26  KL4AMDSLXTB157089,B36610
2026 Buick BUCK ENCOR G,KL4AMDSL9TB157374,157374,"$30,110.35 "," (30,110.35)",157374,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL9TB157374,B36538
2026 Subaru FORESTERSUV-,4S4SLDA67T3096850,096850,"$30,227.00 "," (30,227.00)",096850,2026 SUBARU FORESTER    4/29/26  4S4SLDA67T3096850,R5288
2026 Buick BUCK ENVIST,KL47LBEP1TB123669,123669,"$30,309.18 "," (30,309.18)",123669,2026 BUICK ENVISTA      2/09/26  KL47LBEP1TB123669,B36233
2026 Buick BUCK ENVIST,KL47LBEP5TB123755,123755,"$30,309.18 "," (30,309.18)",123755,2026 BUICK ENVISTA      2/10/26  KL47LBEP5TB123755,B36245
2026 Buick BUCK ENVIST,KL47LBEP0TB123792,123792,"$30,309.18 "," (30,309.18)",123792,2026 BUICK ENVISTA      2/09/26  KL47LBEP0TB123792,B36234
2026 Buick BUCK ENVIST,KL47LBEP7TB123837,123837,"$30,309.18 "," (30,309.18)",123837,2026 BUICK ENVISTA      2/09/26  KL47LBEP7TB123837,B36232
2026 Subaru CROSSTREK5 DO,4S4GUHD69T3745568,745568,"$30,516.00 "," (30,516.00)",745568,2026 SUBARU CROSSTREK   4/13/26  4S4GUHD69T3745568,R5060
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3751265,751265,"$30,516.00 "," (30,516.00)",751265,2026 SUBARU CROSSTREK   3/11/26  4S4GUHD6XT3751265,R5072
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3752271,752271,"$30,516.00 "," (30,516.00)",752271,"MARTINEZ, GERARDO DAN   3/24/26  4S4GUHD6XT3752271",R5132
2026 Subaru CROSSTREK5 DO,4S4GUHD6XT3752335,752335,"$30,516.00 "," (30,516.00)",752335,2026 SUBARU CROSSTREK   3/23/26  4S4GUHD6XT3752335,R5124
2025 Subaru CROSSTREK5 DO,4S4GUHF68S3767170,767170,"$30,553.00 "," (30,553.00)",767170,SUBARU LOANER          12/31/25  4S4GUHF68S3767170,R4304
2026 Buick BUCK ENCOR G,KL4AMDSL5TB149403,149403,"$30,572.85 "," (30,572.85)",149403,2026 BUICK ENCORE GX    3/23/26  KL4AMDSL5TB149403,B36518
2026 Buick BUCK ENCOR G,KL4AMDSL4TB169870,169870,"$30,572.85 "," (30,572.85)",169870,2026 BUICK ENCORE GX    3/27/26  KL4AMDSL4TB169870,B36629
2025 Subaru CROSSTREK5 DO,4S4GUHL63S3776735,776735,"$30,593.00 "," (30,593.00)",776735,SUBARU LOANER          12/31/25  4S4GUHL63S3776735,R4434
2026 Subaru FORESTERSUV-,4S4SLDA69T3096817,096817,"$30,602.00 "," (30,602.00)",096817,2026 SUBARU FORESTER    4/29/26  4S4SLDA69T3096817,R5289
,,,," (30,604.00)",772026,2026 SUBARU CROSSTREK   4/30/26  4S4GUHD69T3772026,R5299
2026 Subaru CROSSTREK5 DO,4S4GUHD65T3755689,755689,"$30,648.00 "," (30,648.00)",755689,2026 SUBARU CROSSTREK   3/25/26  4S4GUHD65T3755689,R5142
2026 Subaru CROSSTREK5 DO,4S4GUHD67T3756116,756116,"$30,648.00 "," (30,648.00)",756116,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD67T3756116,R5106
2026 Subaru CROSSTREK5 DO,4S4GUHD69T3756246,756246,"$30,648.00 "," (30,648.00)",756246,"BALDWIN, LARRY K        3/31/26  4S4GUHD69T3756246",R5195
2026 Subaru CROSSTREK5 DO,4S4GUHF6XT3755653,755653,"$30,723.00 "," (30,723.00)",755653,2026 SUBARU CROSSTREK   4/07/26  4S4GUHF6XT3755653,R5216
2025 Subaru CROSSTREK5 DO,4S4GUHL6XS3768423,768423,"$30,809.00 "," (30,809.00)",768423,25 CROSSTREK 4S4GUHL6XS3768423,R4305
2026 Subaru CROSSTREK5 DO,4S4GUHL69T3715844,715844,"$30,937.00 "," (30,937.00)",715844,2026 SUBARU CROSSTREK   4/13/26  4S4GUHL69T3715844,R4696
2026 Subaru FORESTERSUVPR,4S4SLDB68T3024179,024179,"$30,971.00 "," (30,971.00)",024179,SUBARU LOANER           3/16/26  4S4SLDB68T3024179,R4704
